F,MSFT,FB,NFLX,GOOG  ,TSLA ,Ibov,SELIC,usd_brl,GOLD
11.84584634077,61.590878399137,128.93,137.39,819.31,248.92,65748.0,13.0,3.1603,123.0
12.134534716256,62.138700697477,129.37,140.11,823.87,254.61,65840.0,13.0,3.1643,122.5
11.903584015867,62.872391275612,132.78,138.96,832.15,252.51,66190.0,13.0,3.1798,120.2
12.019059366061,64.349554972923,132.18,142.45,823.31,252.95,66033.0,13.0,3.159,120.0
11.903584015867,63.713689805206,130.98,141.22,802.32,250.63,64301.0,13.0,3.131,118.45
11.893961070017,63.2441278352,130.32,140.71,796.79,251.93,64670.0,13.0,3.1264,121.69
11.855469286619,62.197395943728,133.23,140.78,795.695,249.24,64836.0,13.0,3.1473,120.41
11.816977503221,61.796311761014,130.84,139.2,798.53,251.55,64578.0,13.0,3.119,120.0
12.086419987008,62.295221354146,130.98,140.25,801.49,251.33,64953.0,13.0,3.1235,121.0
12.04792820361,62.256091189979,132.06,140.97,801.34,257.77,63992.0,13.0,3.1173,123.2
11.874715178318,62.050657828101,131.84,144.0,806.97,257.48,64198.0,13.0,3.1298,122.3
11.913206961716,61.962614958725,134.2,144.74,808.38,262.08,64835.0,13.0,3.1248,122.27
11.913206961716,62.666957913734,134.14,144.14,809.56,269.2,64964.0,13.0,3.1179,123.59
12.03830525776,62.608262667483,134.19,144.82,813.67,269.23,66124.0,13.0,3.1149,123.0
12.086419987008,63.312605622493,134.05,143.2,819.24,280.6,66967.0,13.0,3.1169,122.0
12.173026499654,63.547386607496,133.85,140.82,820.45,280.98,66712.0,13.0,3.0998,121.0
12.153780607955,63.508020098834,133.44,142.27,818.98,279.76,67975.0,13.0,3.0773,120.6
12.067174095309,63.498178471668,133.84,142.01,824.16,268.95,67814.0,13.0,3.0504,122.0
12.105665878707,63.596594743323,133.53,142.22,828.07,272.23,67748.0,13.0,3.0944,122.8
12.211518283052,63.468653590172,133.72,142.6,831.66,277.39,69052.0,13.0,3.0964,122.3
12.192272391353,63.340712437021,136.12,143.86,830.76,273.51,68589.0,13.0,3.0818,121.6
12.086419987008,63.596594743323,135.36,142.78,831.33,255.99,67461.0,12.25,3.0632,122.4
11.999813474362,63.596594743323,135.44,143.25,828.64,257.0,66662.0,12.25,3.0987,124.2
12.211518283052,63.911526812618,137.42,142.65,835.24,250.02,66988.0,12.25,3.097,124.2
12.182649445503,62.996255486229,136.76,139.53,830.63,250.48,65854.0,12.25,3.1132,123.5
12.173026499654,63.2324545382,137.17,139.14,829.08,251.57,66785.0,12.25,3.1358,123.7
12.04792820361,63.252137792531,137.42,141.94,827.78,251.21,66341.0,12.25,3.1105,121.7
11.990190528513,63.380078945682,137.3,141.43,831.91,248.59,65742.0,12.25,3.1179,120.8
12.057551149459,63.960734948446,137.72,140.32,835.37,246.87,64718.0,12.25,3.1471,122.4
12.028682311911,63.704852642143,138.24,140.53,838.68,244.9,64585.0,12.25,3.1729,121.7
12.057551149459,63.901685185453,138.79,140.89,843.25,243.69,64675.0,12.25,3.1617,120.75
12.067174095309,63.685169387812,139.6,143.52,845.54,246.17,65534.0,12.25,3.1535,120.5
12.076797041158,63.389920572848,139.32,143.19,845.62,258.0,64699.0,12.25,3.1633,121.8
12.173026499654,63.724535896474,139.72,145.25,847.2,255.73,66234.0,12.25,3.1623,121.0
